Card,Date,Month,Time,Time Period,Amount,Amount_Range,Use Chip,Merchant Type,Merchant State_grouped,MCC_Category,Error_Group,Is Fraud?
0,2002-09-01,9,06:21,Morning,134.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-01,9,06:42,Morning,38.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-02,9,06:22,Morning,120.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-02,9,17:45,Evening,129.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-03,9,06:23,Morning,105.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-03,9,13:53,Open Hours,86.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-04,9,05:51,Night,94.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-04,9,06:09,Morning,124.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-05,9,06:14,Morning,62.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-05,9,09:35,Open Hours,57.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-05,9,20:18,Evening,76.0,0-200,Swipe Transaction,in-person,USA CA,"Restaurants, Bars, and Other Food and Beverage Establishments",No Error,No
0,2002-09-05,9,20:41,Evening,54.0,0-200,Online Transaction,online,Online,Miscellaneous Services and Utilities,No Error,No
0,2002-09-06,9,06:16,Morning,110.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
0,2002-09-07,9,06:16,Morning,117.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-07,9,06:34,Morning,45.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-07,9,09:39,Open Hours,29.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-08,9,06:10,Morning,147.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-08,9,06:38,Morning,28.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-08,9,13:48,Open Hours,77.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-08,9,22:01,Night,23.0,0-200,Swipe Transaction,in-person,USA CA,"Entertainment, Leisure, and Recreation",No Error,No
0,2002-09-09,9,06:54,Morning,38.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-09,9,09:40,Open Hours,66.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,Technical Glitch,No
0,2002-09-09,9,13:19,Open Hours,56.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-09,9,13:31,Open Hours,3.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-09,9,20:02,Evening,145.0,0-200,Online Transaction,online,Online,Miscellaneous Services and Utilities,No Error,No
0,2002-09-10,9,06:20,Morning,160.0,0-200,Swipe Transaction,in-person,USA CA,Miscellaneous Services and Utilities,No Error,No
0,2002-09-10,9,06:22,Morning,102.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-10,9,06:31,Morning,37.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-10,9,21:39,Evening,29.0,0-200,Swipe Transaction,in-person,USA CA,"Entertainment, Leisure, and Recreation",No Error,No
0,2002-09-11,9,06:28,Morning,162.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-11,9,06:33,Morning,34.0,0-200,Swipe Transaction,in-person,USA CA,Retail and Wholesale Stores,No Error,No
0,2002-09-11,9,13:06,Open Hours,62.0,0-200,Swipe Transaction,in-person,USA CA,Online Shopping,No Error,No
